都道府県,都道府県庁 経度,東端 経度,西端 経度,南端 経度,北端 経度,都道府県庁 緯度,東端 緯度,西端 緯度,南端 緯度,北端 緯度
北海道,141°20'49",148°53'35",139°20'04",139°47'57",148°45'08","43°03'52","45°30'22","41°31'02","41°21'07","45°33'26"
青森県,140°44'24",141°41'00",139°29'49",141°00'46",140°54'42","40°49'28","40°27'07","40°32'03","40°13'04","41°33'22"
岩手県,141°09'10",142°04'21",140°39'11",141°13'53",141°40'57","39°42'13","39°32'48","39°23'28","38°44'52","40°27'02"
宮城県,140°52'20",141°40'31",140°16'30",140°47'34",141°30'31","38°16'08","38°51'49","37°58'57","37°46'24","39°00'10"
秋田県,140°06'09",140°59'43",139°41'32",140°33'44",140°52'37","39°43'07","40°22'19","39°59'40","38°52'23","40°30'40"
山形県,140°21'48",140°38'48",139°31'13",140°07'33",139°33'02","38°14'26","38°46'09","39°11'09","37°44'02","39°12'31"
福島県,140°28'04",141°02'37",139°09'53",140°27'54",140°16'48","37°45'00","37°28'54","37°14'16","36°47'29","37°58'36"
茨城県,140°26'49",140°51'06",139°41'15",140°50'15",140°35'10","36°20'30","35°44'38","36°11'52","35°44'21","36°56'43"
栃木県,139°53'01",140°17'33",139°19'35",139°41'16",139°57'10","36°33'57","36°42'45","36°39'26","36°11'59","37°09'18"
群馬県,139°03'39",139°40'11",138°23'49",138°42'46",139°05'49","36°23'28","36°12'49","36°29'23","35°59'06","37°03'31"
埼玉県,139°38'56",139°54'01",138°42'41",139°32'50",139°07'47","35°51'25","35°51'50","35°58'17","35°45'13","36°17'00"
千葉県,140°07'23",140°52'21",139°44'21",139°53'13",139°47'12","35°36'16","35°43'04","35°18'43","34°53'58","36°06'14"
東京都,139°41'30",153°59'12",136°04'11",136°04'11",139°01'06","35°41'22","24°16'59","20°25'31","20°25'31","35°53'54"
神奈川県,139°38'33",139°47'46",138°54'57",139°37'44",139°08'01","35°26'52","35°31'07","35°24'17","35°07'44","35°40'22"
山梨県,138°34'06",139°08'04",138°10'49",138°29'28",138°22'23","35°39'50","35°37'00","35°42'52","35°10'06","35°58'18"
長野県,138°10'51",138°44'22",137°19'29",137°34'43",138°31'25","36°39'05","35°55'58","35°48'43","35°11'55","37°01'49"
新潟県,139°01'24",139°54'00",137°38'06",138°42'19",139°32'58","37°54'09","38°16'33","36°58'49","36°44'11","38°33'12"
富山県,137°12'41",137°45'48",136°46'06",136°58'31",137°38'06","36°41'43","36°46'06","36°25'25","36°16'28","36°58'49"
石川県,136°37'32",137°21'55",136°14'35",136°40'26",136°55'19","36°35'41","37°30'33","36°17'49","36°04'01","37°51'19"
福井県,136°13'18",136°49'56",135°26'58",135°42'03",136°14'33","36°03'55","35°51'33","35°31'33","35°20'36","36°17'48"
岐阜県,136°43'20",137°39'11",136°16'35",136°40'10",137°16'44","35°23'28","36°18'17","35°39'11","35°08'02","36°27'54"
静岡県,138°22'59",139°10'36",137°28'27",138°56'36",138°13'42","34°58'37","35°02'22","34°45'00","34°34'25","35°38'45"
愛知県,136°54'24",137°50'17",136°40'15",137°02'11",136°59'24","35°10'49","35°12'45","35°08'31","34°34'41","35°25'30"
三重県,136°30'31",136°59'15",135°51'12",135°58'29",136°31'42","34°43'49","34°32'53","33°51'33","33°43'22","35°15'28"
滋賀県,135°52'06",136°27'19",135°45'50",136°01'37",136°10'29","35°00'16","35°09'10","35°20'43","34°47'27","35°42'13"
京都府,135°45'20",136°03'20",134°51'13",135°51'04",135°13'25","35°01'16","34°44'19","35°35'19","34°42'21","35°46'45"
大阪府,135°31'12",135°44'48",135°05'31",135°06'41",135°21'06","34°41'11","34°48'06","34°18'52","34°16'19","35°03'05"
兵庫県,135°10'59",135°28'07",134°15'09",134°48'59",134°45'53","34°41'29","34°55'32","34°51'07","34°09'21","35°40'29"
奈良県,135°49'58",136°13'48",135°32'23",135°52'20",135°42'41","34°41'07","34°29'35","34°04'33","33°51'32","34°46'53"
和歌山県,135°10'03",136°00'48",134°59'57",135°45'45",135°37'12","34°13'34","33°58'13","34°16'47","33°25'59","34°23'04"
鳥取県,134°14'18",134°30'55",133°08'09",133°16'09",134°22'12","35°30'12","35°16'40","35°04'13","35°03'27","35°36'52"
島根県,133°03'02",133°23'13",131°40'04",131°49'13",131°51'54","35°28'20","36°16'14","34°30'15","34°18'09","37°14'39"
岡山県,133°56'06",134°24'47",133°16'00",133°32'01",133°59'52","34°39'42","35°09'30","35°03'11","34°17'54","35°21'10"
広島県,132°27'35",133°28'15",132°02'11",132°29'07",132°53'18","34°23'48","34°18'54","34°30'05","34°02'05","35°06'20"
山口県,131°28'17",132°29'31",130°46'29",132°08'01",131°07'51","34°11'09","33°57'22","34°06'44","33°42'46","34°47'55"
徳島県,134°33'34",134°49'20",133°39'39",134°19'08",134°36'21","34°03'57","33°51'17","33°52'54","33°32'19","34°15'07"
香川県,134°02'36",134°26'51",133°26'48",133°41'17",134°20'48","34°20'24","34°14'24","34°06'28","34°00'44","34°33'53"
愛媛県,132°45'58",133°41'35",132°00'45",132°27'11",133°16'29","33°50'30","33°56'50","33°20'40","32°53'05","34°18'06"
高知県,133°31'52",134°18'53",132°28'47",132°32'35",133°38'36","33°33'35","33°32'20","32°47'50","32°42'09","33°53'00"
福岡県,130°25'05",131°11'25",129°58'54",130°23'48",130°06'43","33°36'23","33°33'29","33°41'23","33°00'02","34°15'00"
佐賀県,130°17'57",130°32'33",129°44'13",130°13'05",129°51'45","33°14'58","33°22'22","33°34'32","32°57'02","33°37'09"
長崎県,129°52'02",130°23'13",128°06'16",128°21'00",129°27'25","32°45'00","32°46'18","32°14'38","31°59'11","34°43'39"
熊本県,130°44'30",131°19'46",129°56'25",130°49'14",131°03'35","32°47'23","32°49'59","32°10'31","32°05'41","33°11'43"
大分県,131°36'45",132°10'38",130°49'29",131°55'33",131°40'04","33°14'17","33°02'39","33°15'04","32°42'52","33°44'26"
宮崎県,131°25'26",131°53'09",130°42'12",131°20'09",131°46'00","31°54'40","32°44'45","32°03'30","31°21'39","32°50'20"
鹿児島県,130°33'29",131°12'20",128°23'43",128°26'37",130°15'01","31°33'37","31°34'49","27°02'51","27°01'07","32°18'38"
沖縄県,127°40'51",131°19'56",122°55'57",123°47'18",128°13'20","26°12'45","25°57'05","24°27'05","24°02'44","27°53'08"
